"Categoria";"Decorrenza";"Scadenza";"Stato File";"Anno Scadenza";"Anno Stipula";"Tipologia";"Anno Decorrenza";"Codice CCNL";"Stipula";"Ultimo vigente";
"EDITORIA E GRAFICA: Industrie";"01/01/1998";"31/12/1999";"C";"1999";"1998";"Economico 2. biennio";"1998";"G011980";"15/04/1998";"";
"AGRICOLTURA: Dirigenti";"01/01/1999";"31/12/2000";"C";"2000";"1999";"Economico 2. biennio";"1999";"A031990";"15/04/1999";"";
"GOMMA E PLASTICA: Industrie";"16/04/2000";"31/12/2003";"C";"2003";"2000";"Testo definitivo";"2000";"B371000";"15/04/2000";"";
"GIOCATTOLI  MODELLISMO ... : Industrie";"01/01/2002";"31/12/2003";"C";"2003";"2002";"Economico 2. biennio";"2002";"D231020";"15/04/2002";"";
"GIORNALI E QUOTIDIANI: Operai e Impiegati";"01/05/2003";"30/04/2007";"C";"2007";"2003";"Testo definitivo";"2003";"G041030";"15/04/2003";"";
"TERZIARIO  DISTRIBUZIONE E SERVIZI - CONFSAL FEDARCOM CIFA";"01/09/2007";"31/08/2011";"F";"2011";"2009";"Testo definitivo";"2007";"H01B";"15/04/2009";"";
"PULIZIA: Igiene Urbana PRIVATE";"";"31/12/2010";"I";"2010";"2010";"Testo definitivo";"";"K531";"15/04/2010";"";
"PANIFICAZIONE: Industrie";"01/05/1991";"30/11/1994";"C";"1994";"1991";"Testo definitivo";"1991";"E021910";"15/05/1991";"";
"CONI";"01/01/1998";"31/12/2001";"C";"2001";"2001";"Testo definitivo";"1998";"S641010";"15/05/2001";"";
"EDITORIA E GRAFICA: Industrie";"";"";"C";"";"2002";"Verbale integrativo";"";"G011020";"15/05/2002";"";
"STUDI Professionali Odontoiatrici (Dipendenti)";"15/05/2002";"15/05/2006";"C";"2006";"2002";"Testo definitivo";"2002";"H451020";"15/05/2002";"SI";
"TEATRI: Personale non Artistico";"01/01/2002";"31/12/2003";"C";"2003";"2003";"Economico 2. biennio";"2002";"G311030";"15/05/2003";"";
"LEGNO  ARREDAMENTO: P.M.I.";"";"";"C";"";"2007";"Verbale Integrativo";"";"F058070";"15/05/2007";"";
"IPPICA: Scuderie Cavalli da Corsa al Trotto";"01/06/2007";"31/12/2010";"I";"2010";"2008";"Testo definitivo";"2007";"GI41";"15/05/2008";"SI";
"FACCHINAGGIO (Appalti Monopolio di Stato)";"01/06/1983";"31/10/1986";"C";"1986";"1983";"Accordo di rinnovo";"1983";"ID21830";"15/06/1983";"";
"CALZATURE: Industrie";"01/06/1991";"30/06/1995";"C";"1995";"1991";"Testo definitivo";"1991";"D121910";"15/06/1991";"";
"IPPICA: Scuderie Cavalli da Corsa al Trotto";"01/01/1998";"31/12/2001";"C";"2001";"1998";"Testo definitivo";"1998";"GI41980";"15/06/1998";"";
"AZIENDE TERMALI";"01/07/1999";"30/06/2003";"C";"2003";"1999";"Accordo di rinnovo";"1999";"K461990";"15/06/1999";"";
"AZIENDE TERMALI";"01/07/1999";"30/06/2003";"C";"2003";"1999";"Testo definitivo";"1999";"K461991";"15/06/1999";"";
"SCUOLA PRIVATE (ANINSEI)";"01/01/1998";"31/12/2001";"C";"2001";"1999";"Testo definitivo";"1998";"T231990";"15/06/1999";"";
"PENNE SPAZZOLE ... : Industrie";"01/01/2000";"31/12/2003";"C";"2003";"2000";"Accordo di rinnovo";"2000";"D241000";"15/06/2000";"";
"PENNE SPAZZOLE ... : Industrie";"01/01/2000";"31/12/2003";"C";"2003";"2000";"Testo definitivo";"2000";"D241001";"15/06/2000";"";
"EDILI: Artigiane";"01/06/2000";"31/12/2003";"C";"2003";"2000";"Accordo di rinnovo";"2000";"F015000";"15/06/2000";"";
"EDILI: Artigiane";"01/06/2000";"31/12/2003";"C";"2003";"2000";"Testo definitivo";"2000";"F015001";"15/06/2000";"";
"RETIFICI DA PESCA";"01/01/2004";"31/12/2007";"C";"2007";"2004";"Accordo di rinnovo";"2004";"D411040";"15/06/2004";"";
"CNEL";"01/01/2004";"31/12/2005";"C";"2005";"2007";"Economico 2. biennio";"2004";"S661071";"15/06/2007";"";
"AGENZIA E RAPPRESENTANZA SETTORE ARTIGIANO (Fapi-Ugifai)";"01/07/2009";"01/06/2012";"F";"2012";"2009";"Testo definitivo";"2009";"H0D1";"15/06/2009";"SI";
"EDILI: imprese artigiane  coop.  PMI - FEDARCOM-CIFA-FIADEL";"15/06/2010";"14/06/2013";"F";"2013";"2010";"Testo definitivo";"2010";"F01I";"15/06/2010";"SI";
"SCUOLE: Licei Linguistici e Istituti d'Istruzione associati alla Filins-Fiinsei-Aispef";"";"31/08/2013";"I";"2013";"2010";"Verbale Integrativo";"";"T250";"15/06/2010";"SI";
"SCUOLE: Istituti d'Istruzione associati alla Filins-Fiinsei (collaborazione coordinata e continuativa a progetto)";"";"31/08/2013";"I";"2013";"2010";"Verbale Integrativo";"";"T253";"15/06/2010";"SI";
"VIAGGIATORI E PIAZZISTI: Commercio e Servizi";"01/07/1992";"31/03/1994";"C";"1994";"1992";"Testo definitivo";"1992";"H101920";"15/07/1992";"";
"LAVORO DOMESTICO";"15/07/1992";"15/07/1995";"C";"1995";"1992";"Testo definitivo";"1992";"H501920";"15/07/1992";"";
"SIAE (SOCIETA' ITALIANA AUTORI ED EDITORI)";"01/01/1996";"31/12/1997";"C";"1997";"1996";"Economico 2. biennio";"1996";"G411960";"15/07/1996";"";
"ASSICURAZIONI: Cooperative e Confesercenti";"01/01/1996";"31/12/1997";"C";"1997";"1996";"Economico 2. biennio";"1996";"J126960";"15/07/1996";"";
"ASSICURAZIONI: Agenzie in gestione libera (SNA)";"01/01/1997";"31/12/2000";"C";"2000";"1998";"Testo definitivo";"1997";"J141980";"15/07/1998";"";
"ENAC (Ente Nazionale Aviazione Civile): Dirigenti";"01/01/1998";"31/12/2001";"C";"2001";"2002";"Testo definitivo";"1998";"S714020";"15/07/2002";"";
"ENAC (Ente Nazionale Aviazione Civile): Dirigenti";"01/01/2000";"31/12/2001";"C";"2001";"2002";"Economico 2. biennio";"2000";"S714021";"15/07/2002";"";
"ZOOTECNIA : Operai e Impiegati";"01/01/2003";"31/12/2006";"C";"2006";"2003";"Accordo di rinnovo";"2003";"A221030";"15/07/2003";"";
"ZOOTECNIA : Operai e Impiegati";"01/01/2003";"31/12/2006";"C";"2006";"2003";"Testo definitivo";"2003";"A221031";"15/07/2003";"";
"Imprese Radiotelevisive Private";"01/01/2004";"31/12/2005";"C";"2005";"2004";"Economico 2. biennio";"2004";"G091040";"15/07/2004";"";
"IPPICA: Addetti al totalizzatore  ingressi e ss.vv.";"01/07/2004";"30/06/2007";"C";"2007";"2004";"Testo definitivo";"2004";"GI95040";"15/07/2004";"";
"SOCCORSO E ASSISTENZA STRADALE";"";"";"C";"";"2004";"Verbale Integrativo";"";"IC81040";"15/07/2004";"";
"ENEA";"";"";"C";"";"2004";"Verbale integrativo";"";"S621040";"15/07/2004";"";
"AUTOSTRADE E TRAFORI (Societa' e Consorzi Concessionari)";"15/07/2005";"31/12/2007";"C";"2007";"2005";"Testo definitivo";"2005";"I192050";"15/07/2005";"";
"Lavoro Domestico - Colf e Badanti";"15/07/2008";"15/07/2013";"C";"2013";"2008";"Testo definitivo";"2008";"H506";"15/07/2008";"SI";
"AREA V: Dirigenti (Scuola)";"01/01/2008";"31/12/2009";"F";"2009";"2010";"Economico 2. biennio";"2008";"S323";"15/07/2010";"";
"AREA V: Dirigenti (Scuola)";"01/01/2006";"31/12/2009";"F";"2009";"2010";"Accordo di rinnovo";"2006";"S323";"15/07/2010";"SI";
"GIOCATTOLI  MODELLISMO ... : Industrie";"01/01/2010";"31/12/2012";"I";"2012";"2010";"Testo definitivo";"2010";"D231";"15/07/2010";"SI";
"ALIMENTARISTI PANIFICAZIONE AFFINI Artigiani";"15/07/2010";"14/07/2013";"I";"2013";"2010";"Testo definitivo";"2010";"E029";"15/07/2010";"SI";
"GESTIONE E SERVIZI IN APPALTO (Aeroporti)";"01/07/2011";"30/06/2014";"I";"2014";"2011";"Testo definitivo";"2011";"H01A";"15/07/2011";"SI";
"ESATTORIE: Cons. Naz. Obblig. Esattori Imposte Dirette";"15/09/1987";"31/12/1988";"C";"1988";"1987";"Testo definitivo";"1987";"J341870";"15/09/1987";"";
"MARITTIMI: Medici di Bordo";"01/10/2003";"31/12/2006";"C";"2006";"2003";"Verbale Integrativo";"2003";"I751";"15/09/2003";"";
"MARITTIMI: Medici di Bordo";"01/10/2003";"31/12/2006";"C";"2006";"2003";"Accordo di rinnovo";"2003";"I751";"15/09/2003";"SI";
"COMMERCIO E SERVIZI";"";"";"C";"";"2004";"Verbale integrativo";"";"H011041";"15/09/2004";"";
"AEREI: Personale di Terra (Alitalia e AtiTech)";"01/01/2004";"31/12/2007";"C";"2007";"2004";"Accordo di rinnovo";"2004";"I853040";"15/09/2004";"SI";
"SERVIZI ASSISTENZIALI: Personale ANPAS";"01/01/2006";"31/12/2009";"F";"2009";"2008";"Testo definitivo";"2006";"T171";"15/09/2008";"SI";
"SANITA': Personale non medico area privata";"01/01/2006";"31/12/2007";"I";"2007";"2010";"Economico 2. biennio";"2006";"T011";"15/09/2010";"";
"TESSILI ABBIGLIAMENTO: Lavorazioni conto terzi a facon";"15/09/2012";"14/09/2015";"I";"2015";"2012";"Testo definitivo";"2012";"D022";"15/09/2012";"SI";
"AGENZIE MARITTIME E AEREE: Dirigenti";"01/01/1999";"31/12/2002";"C";"2002";"1999";"Accordo di rinnovo";"1999";"I491990";"15/10/1999";"";
"AGENZIE MARITTIME E AEREE: Dirigenti";"01/01/1999";"31/12/2002";"C";"2002";"1999";"Testo definitivo";"1999";"I491991";"15/10/1999";"";
"CEMENTO  CALCE  GESSO: Industrie";"01/08/2001";"31/07/2003";"C";"2003";"2001";"Economico 2. biennio";"2001";"F032010";"15/10/2001";"";
"ASSICURAZIONI: Dirigenti";"15/10/2007";"31/12/2010";"C";"2010";"2007";"Accordo di rinnovo";"2007";"J111070";"15/10/2007";"";
"ASSICURAZIONI: Dirigenti";"15/10/2007";"31/12/2010";"C";"2010";"2007";"Testo definitivo";"2007";"J111";"15/10/2007";"SI";
"SERVIZI ASSISTENZIALI: Personale FENASCOP";"01/01/2008";"31/12/2009";"C";"2009";"2009";"Economico 2. biennio";"2008";"T191";"15/10/2009";"";
"METALMECCANICA: Industrie";"01/01/2010";"31/12/2012";"C";"2012";"2009";"Accordo di rinnovo";"2010";"C011";"15/10/2009";"SI";
"METALMECCANICA: Industrie";"01/01/2010";"31/12/2012";"I";"2012";"2009";"Accordo di rinnovo";"2010";"C012";"15/10/2009";"";
"METALMECCANICA: Industrie";"01/01/2010";"31/12/2012";"I";"2012";"2009";"Testo definitivo";"2010";"C012";"15/10/2009";"SI";
"EDILI: Artigiane";"10/11/1991";"31/12/1994";"C";"1994";"1991";"Testo definitivo";"1991";"F015910";"15/11/1991";"";
"DIRIGENTI: Imprese Pubbliche Locali";"01/01/2000";"31/12/2003";"C";"2003";"2000";"Accordo di rinnovo";"2000";"V042000";"15/11/2000";"";
"EDITORIE E GRAFICA (Fotografi ed Affini): Artigiane";"";"";"C";"";"2001";"Verbale integrativo";"";"G015010";"15/11/2001";"";
"FARMACIE PRIVATE";"01/02/2002";"31/01/2006";"C";"2006";"2002";"Accordo di rinnovo";"2002";"H121020";"15/11/2002";"";
"DISCOGRAFICI - VIDEOFONOGRAFICI";"01/07/2005";"30/06/2009";"C";"2009";"2005";"Testo definitivo";"2005";"G421050";"15/11/2005";"";
"Concessionari Servizi Tributi: Dirigenti";"15/11/2005";"31/12/2007";"C";"2007";"2005";"Testo definitivo";"2005";"J352";"15/11/2005";"";
"FONDAZIONE ENASARCO: Dirigenti";"01/01/2004";"31/12/2007";"C";"2007";"2005";"Testo definitivo";"2004";"T912050";"15/11/2005";"";
"UNIVERSITA'";"";"";"C";"";"2006";"Verbale integrativo";"";"S331061";"15/11/2006";"";
"COMMERCIO E SERVIZI: Dirigenti";"";"";"C";"";"2007";"Verbale Integrativo";"";"H021071";"15/11/2007";"";
"CENTRALI DEL LATTE: Municipalizzate";"01/01/1990";"31/12/1993";"C";"1993";"1990";"Accordo di rinnovo";"1990";"E064900";"15/12/1990";"";
"CENTRALI DEL LATTE: Municipalizzate";"01/01/1990";"31/12/1993";"C";"1993";"1990";"Testo definitivo";"1990";"E064901";"15/12/1990";"";
"ASSICURAZIONI: Dirigenti";"15/12/1994";"30/06/1995";"C";"1995";"1994";"Testo definitivo";"1994";"J111940";"15/12/1994";"";
"BANCARI: Casse Rurali e Artigiane - Credito Cooperativo";"01/01/1994";"31/12/1997";"C";"1997";"1994";"Accordo di rinnovo";"1994";"J271940";"15/12/1994";"";
"AZIENDE e Amministr. dello Stato a gestione autonoma";"01/01/1994";"31/12/1997";"C";"1997";"1995";"Testo definitivo";"1994";"S411950";"15/12/1995";"";
"LEGNO  ARREDAMENTO: Artigiane";"01/01/1997";"31/12/2000";"C";"2000";"1997";"Accordo di rinnovo";"1997";"F055970";"15/12/1997";"";
"LEGNO  ARREDAMENTO: Artigiane";"01/01/1997";"31/12/2000";"C";"2000";"1997";"Testo definitivo";"1997";"F055971";"15/12/1997";"";
"TABACCO: (Lavorazione del)";"01/01/1999";"31/12/2002";"C";"2002";"1998";"Accordo di rinnovo";"1999";"E042980";"15/12/1998";"";
"TABACCO: (Lavorazione del)";"01/01/1999";"31/12/2002";"C";"2002";"1998";"Testo definitivo";"1999";"E042981";"15/12/1998";"";
"IPPICA: Dipendenti Societa' Corse dei Cavalli";"15/12/1998";"31/12/2001";"C";"2001";"1998";"Testo definitivo";"1998";"GI91980";"15/12/1998";"";
"PROPRIETARI FABBRICATI (Dipendenti)";"01/01/2000";"31/12/2002";"C";"2002";"1999";"Testo definitivo";"2000";"H401990";"15/12/1999";"";
"CONCIA: Industrie";"01/11/2000";"31/12/2002";"C";"2002";"2000";"Economico 2. biennio";"2000";"B101000";"15/12/2000";"";
"SANITA': Dipendenti ANFFAS";"01/01/2000";"31/12/2001";"C";"2001";"2000";"Economico 2. biennio";"2000";"T021000";"15/12/2000";"";
"FEDERCULTURE: Dipendenti";"01/12/2005";"31/12/2007";"C";"2007";"2006";"Economico 2. biennio";"2005";"T711";"15/12/2006";"";
"CONSORZI di Bonifica: Dirigenti";"01/01/2008";"31/12/2009";"C";"2009";"2009";"Accordo di rinnovo";"2008";"A101";"15/12/2009";"";
"METALMECCANICA: Artigiane";"01/01/2010";"";"C";"";"2009";"Accordo di rinnovo";"2010";"C015";"15/12/2009";"";
"ORAFI  ARGENTIERI ED AFFINI: Artigiani";"01/01/2010";"";"C";"";"2009";"Accordo di rinnovo";"2010";"C025";"15/12/2009";"";
"ODONTOTECNICI: Artigiani";"01/01/2010";"";"C";"";"2009";"Accordo di rinnovo";"2010";"C035";"15/12/2009";"";
"LAVANDERIE  TINTORIE ... : Industrie";"01/07/2009";"30/06/2012";"I";"2012";"2009";"Accordo di rinnovo";"2009";"D0L1";"15/12/2009";"SI";
"LAVANDERIE  TINTORIE ... : Industrie";"01/07/2009";"30/06/2012";"I";"2012";"2009";"Accordo di rinnovo";"2009";"D0L1";"15/12/2009";"SI";
"SISTEMAZIONI IDRAULICO FORESTALI";"01/01/2010";"31/12/2012";"C";"2012";"2010";"Verbale Integrativo";"2010";"A181";"15/12/2010";"";
"SPETTACOLO Esercizi Pubblici: Artisti a tempo determinato";"01/01/2012";"31/12/2014";"F";"2014";"2011";"Accordo di rinnovo";"2012";"G351";"15/12/2011";"SI";
"Lavoro Domestico Badanti e Colf del Terziario";"19/12/2011";"18/12/2014";"I";"2014";"2011";"Testo definitivo";"2011";"H503";"15/12/2011";"SI";
"BANCARI: CASSE DI RISPARMIO";"01/01/1989";"31/12/1992";"C";"1992";"1991";"Testo definitivo";"1989";"J221910";"16/01/1991";"";
"ESATTORIE: Cons. Naz. Obblig. Esattori Imposte Dirette";"";"";"C";"";"1996";"Verbale integrativo";"";"J341960";"16/01/1996";"";
"ENTE POSTE ITALIANE";"";"";"C";"";"1998";"Verbale integrativo";"";"T311980";"16/01/1998";"";
"CHIMICA E AFFINI (Piccola e Media Impresa)";"01/01/2002";"31/12/2002";"C";"2002";"2002";"Economico 2. biennio";"2002";"B018020";"16/01/2002";"";
"GOMMA E PLASTICA: P.M.I.";"01/01/2002";"31/12/2002";"C";"2002";"2002";"Economico 2. biennio";"2002";"B375020";"16/01/2002";"";
"SANITA': Comparto Pubblico";"";"";"C";"";"2004";"Verbale integrativo";"";"S211041";"16/01/2004";"";
"ESERCIZI CINEMATOGRAFICI E CINEMA-TEATRALI";"01/07/2006";"30/06/2010";"C";"2010";"2008";"Accordo di rinnovo";"2006";"G211";"16/01/2008";"";
"ESERCIZI CINEMATOGRAFICI E CINEMA-TEATRALI";"01/07/2006";"30/06/2010";"I";"2010";"2008";"Testo definitivo";"2006";"G211";"16/01/2008";"";
"FERROVIE: Dipendenti Addetti ai Servizi";"01/10/1994";"31/12/1995";"C";"1995";"1995";"Accordo di rinnovo";"1994";"I351950";"16/02/1995";"";
"MINISTERI";"01/01/1998";"31/12/2001";"C";"2001";"1999";"Testo definitivo";"1998";"S001981";"16/02/1999";"";
"ENTI PUBBLICI NON ECONOMICI";"01/01/1998";"31/12/2001";"C";"2001";"1999";"Testo definitivo";"1998";"S511990";"16/02/1999";"";
"AUTOSTRADE E TRAFORI (Societa' e Consorzi Concessionari)";"01/01/2000";"31/12/2003";"C";"2003";"2000";"Accordo di rinnovo";"2000";"I192000";"16/02/2000";"";
"AUTOSTRADE E TRAFORI (Societa' e Consorzi Concessionari)";"01/01/2000";"31/12/2003";"C";"2003";"2000";"Testo definitivo";"2000";"I192001";"16/02/2000";"";
"IPPICA: Dipendenti Societa' Corse dei Cavalli";"01/01/2004";"31/12/2005";"C";"2005";"2004";"Economico 2. biennio";"2004";"GI91040";"16/02/2004";"";
"ACCADEMIE E CONSERVATORI";"01/01/2002";"31/12/2005";"C";"2005";"2005";"Testo definitivo";"2002";"S341050";"16/02/2005";"";
"LAVORO DOMESTICO";"01/03/2007";"28/02/2011";"C";"2011";"2007";"Testo definitivo";"2007";"H501070";"16/02/2007";"SI";
"AGENTI DI COMMERCIO (Sett. Commercio)";"01/03/2009";"29/02/2012";"C";"2012";"2009";"Accordo di rinnovo";"2009";"H091";"16/02/2009";"";
"AGENTI DI COMMERCIO (Sett. Commercio)";"01/03/2009";"29/02/2012";"I";"2012";"2009";"Testo definitivo";"2009";"H091";"16/02/2009";"SI";
"AGRICOLTURA: Aziende in conto terzi";"01/01/2010";"31/12/2011";"C";"2011";"2010";"Economico 2. biennio";"2010";"A051";"16/02/2010";"";
"Imprese Radiotelevisive Private";"16/02/2011";"31/12/2012";"I";"2012";"2011";"Accordo di rinnovo";"2011";"G091";"16/02/2011";"";
"Imprese Radiotelevisive Private";"16/02/2011";"31/12/2012";"I";"2012";"2011";"Testo definitivo";"2011";"G091";"16/02/2011";"SI";
"EDITORIA E GRAFICA: P.M.I.";"01/03/1993";"31/12/1995";"C";"1995";"1993";"Testo definitivo";"1993";"G018930";"16/03/1993";"";
"BANCARI: Borsa e Commissione Nazionale delle Societa'";"01/04/1993";"";"C";"";"1993";"Accordo di rinnovo";"1993";"J2C1930";"16/03/1993";"";
"EDITORIA E GRAFICA: P.M.I.";"01/01/1998";"31/12/1999";"C";"1999";"1998";"Economico 2. biennio";"1998";"G018980";"16/03/1998";"";
"AEREI: Personale di Terra (Assaeroporti)";"01/01/1996";"31/12/1999";"C";"1999";"1999";"Accordo di rinnovo";"1996";"I851990";"16/03/1999";"";
"RECAPITO CORRISPONDENZA";"01/01/1999";"31/12/2000";"C";"2000";"2000";"Economico 2. biennio";"1999";"V311000";"16/03/2000";"";
"SERVIZI SOCIO-ASSISTENZIALI (UNIMPRESA)";"16/03/2009";"16/03/2012";"F";"2012";"2009";"Testo definitivo";"2009";"T145";"16/03/2009";"SI";
"SOTTOPRODOTTI DELLA MACELLAZIONE";"01/04/1992";"31/03/1996";"C";"1996";"1992";"Accordo di rinnovo";"1992";"E031920";"16/04/1992";"";
"ALIMENTARISTI: Artigiane";"";"";"C";"";"1996";"Economico 2. biennio";"";"E015960";"16/04/1996";"";
"ORTOFRUTTA E AGRUMI (Import - Export )";"01/01/1999";"31/12/2002";"C";"2002";"1999";"Accordo di rinnovo";"1999";"H341990";"16/04/1999";"";
"ORTOFRUTTA E AGRUMI (Import - Export )";"01/01/1999";"31/12/2002";"C";"2002";"1999";"Testo definitivo";"1999";"H341991";"16/04/1999";"";
"FERROVIE: Attivita' ferroviarie";"01/01/2003";"31/12/2006";"C";"2006";"2003";"Testo definitivo";"2003";"I320030";"16/04/2003";"";
"ANAS: Dirigenti (Ente Nazionale per le Strade)";"01/01/2002";"31/12/2003";"F";"2003";"2003";"Testo definitivo";"2002";"T512";"16/04/2003";"";
"AUTOTRASPORTI: Dirigenti";"01/01/2003";"31/12/2006";"C";"2006";"2004";"Accordo di rinnovo";"2003";"I112040";"16/04/2004";"";
"SCUOLE MATERNE NON STATALI";"01/01/2004";"31/12/2005";"C";"2005";"2004";"Economico 2. biennio";"2004";"T271";"16/04/2004";"";
"TERZIARIO  DISTRIBUZIONE E SERVIZI - CONFSAL FEDARCOM CIFA";"01/05/2009";"30/04/2012";"F";"2012";"2009";"Testo definitivo";"2009";"H01B";"16/04/2009";"SI";
"SANITA': Dipendenti ANFFAS";"01/01/2006";"31/12/2009";"I";"2009";"2009";"Testo definitivo";"2006";"T021";"16/04/2009";"SI";
"MARITTIMI: Ufficiali Radiotelegrafisti";"01/01/1995";"31/12/1998";"C";"1998";"1995";"Accordo di rinnovo";"1995";"I411950";"16/05/1995";"";
"LAVANDERIE  TINTORIE ... : Artigiane";"01/05/1996";"31/12/1996";"C";"1996";"1996";"Economico 2. biennio";"1996";"D0L5960";"16/05/1996";"";
"AUTOTRASPORTI E SPEDIZIONI IN CONTO TERZI";"01/07/2000";"31/12/2003";"C";"2003";"2001";"Accordo di rinnovo";"2000";"I132010";"16/05/2001";"";
"MINISTERI";"";"";"C";"";"2001";"Verbale integrativo";"";"S001012";"16/05/2001";"";
"Segretari Comunali e Provinciali";"01/01/1998";"31/12/2001";"C";"2001";"2001";"Testo definitivo";"1998";"S111010";"16/05/2001";"";
"Segretari Comunali e Provinciali";"01/01/2000";"31/12/2001";"C";"2001";"2001";"Economico 2. biennio";"2000";"S111011";"16/05/2001";"";
"CONSORZI di Bonifica: Dirigenti";"01/01/2000";"31/12/2003";"C";"2003";"2002";"Accordo di rinnovo";"2000";"A101020";"16/05/2002";"";
"TESSILI SETA: Fil. Cascami  Trattura e Torcitura  Fil. Serica";"01/01/2006";"31/03/2008";"C";"2008";"2006";"Economico 2. biennio";"2006";"D051060";"16/05/2006";"";
"TESSILI SETA: Fil. Cascami  Trattura e Torcitura  Fil. Serica";"01/01/2006";"31/03/2008";"C";"2008";"2006";"Economico 2. biennio";"2006";"D051061";"16/05/2006";"";
"TESSILI SETA: Fil. Cascami  Trattura e Torcitura  Fil. Serica";"01/01/2006";"31/03/2008";"C";"2008";"2006";"Economico 2. biennio";"2006";"D051062";"16/05/2006";"";
"TESSILI SETA: Fil. Cascami  Trattura e Torcitura  Fil. Serica";"01/01/2006";"31/03/2008";"C";"2008";"2006";"Economico 2. biennio";"2006";"D051063";"16/05/2006";"";
"TESSILI VARI: Industrie";"01/01/2006";"31/03/2008";"C";"2008";"2006";"Economico 2. biennio";"2006";"D0H1060";"16/05/2006";"";
"TESSILI VARI: Industrie";"01/01/2006";"31/03/2008";"C";"2008";"2006";"Economico 2. biennio";"2006";"D0H1061";"16/05/2006";"";
"ODONTOTECNICI: Artigiani";"01/01/1991";"30/06/1992";"C";"1992";"1989";"Testo definitivo";"1991";"C035890";"16/06/1989";"";
"MINERO-METALLURGICHE: Industrie";"16/06/1993";"30/09/1994";"C";"1994";"1993";"Accordo di rinnovo";"1993";"B282930";"16/06/1993";"";
"VETRO: Industrie";"";"";"C";"";"1994";"Verbale integrativo";"";"B132943";"16/06/1994";"";
"BANCARI: CASSE DI RISPARMIO Dirigenti";"01/07/1995";"30/06/1997";"C";"1997";"1995";"Accordo di rinnovo";"1995";"J231950";"16/06/1995";"";
"BANCARI: CASSE DI RISPARMIO Dirigenti (in J251)";"01/07/1995";"30/06/1997";"C";"1997";"1995";"Testo definitivo";"1995";"J231951";"16/06/1995";"";
"PROPRIETARI FABBRICATI (Dipendenti)";"";"";"C";"";"1997";"Verbale integrativo";"";"H400970";"16/06/1997";"";
"STUDI PROFESSIONALI (CIPA)";"";"";"C";"";"1998";"Verbale integrativo";"";"H411980";"16/06/1998";"";
"UIL (Lavoratori Dipendenti)";"01/01/1999";"31/12/2002";"C";"2002";"1999";"Testo definitivo";"1999";"TA11990";"16/06/1999";"";
"FARMACIE MUNICIPALIZZATE";"01/01/1999";"31/12/2002";"C";"2002";"2000";"Accordo di rinnovo";"1999";"H124000";"16/06/2000";"";
"FARMACIE MUNICIPALIZZATE";"01/01/1999";"31/12/2002";"C";"2002";"2000";"Testo definitivo";"1999";"H124001";"16/06/2000";"";
"SANITA': Personale non medico area privata";"";"";"C";"";"2003";"Verbale integrativo";"";"T011031";"16/06/2003";"";
"COMUNICAZIONE D'IMPRESA";"01/01/2004";"31/12/2007";"C";"2007";"2004";"Testo definitivo";"2004";"G086040";"16/06/2004";"";
"ALBERGHI: Dirigenti Catene Alberghiere";"01/01/2003";"31/12/2006";"C";"2006";"2004";"Accordo di rinnovo";"2003";"H063040";"16/06/2004";"";
"CHIMICO FARMACEUTICA e AFFINI: Industrie";"";"";"C";"";"2010";"Verbale Integrativo";"";"B011";"16/06/2010";"";
"MECCANICA  ORAFI ARGENTIERI  ODONTOTECNICI: artigiani";"01/01/2010";"31/12/2012";"C";"2012";"2011";"Accordo di rinnovo";"2010";"C030";"16/06/2011";"";
"FORMAZIONE PROFESSIONALE E CULTURA VARIA (collaborazione coordinata e continuativa a progetto)";"01/09/2011";"31/08/2015";"C";"2015";"2011";"Testo definitivo";"2011";"T276";"16/06/2011";"SI";
"MECCANICA  ORAFI ARGENTIERI  ODONTOTECNICI: artigiani";"01/01/2010";"31/12/2012";"I";"2012";"2011";"Testo definitivo";"2010";"C030";"16/06/2011";"SI";
"GAS: Aziende Private";"01/01/1991";"31/12/1994";"C";"1994";"1991";"Accordo di rinnovo";"1991";"K311911";"16/07/1991";"";
"BASI NATO Dipendenti Civili";"17/07/1993";"31/12/1995";"C";"1995";"1993";"Testo definitivo";"1993";"V711930";"16/07/1993";"";
"LAVORO DOMESTICO";"16/07/1996";"15/07/2000";"C";"2000";"1996";"Testo definitivo";"1996";"H501960";"16/07/1996";"";
"POMPE FUNEBRI: Agenzie Pubbliche";"";"";"C";"";"1997";"Verbale integrativo";"";"IB17971";"16/07/1997";"";
"SISTEMAZIONI IDRAULICO FORESTALI";"01/01/1998";"31/12/2001";"C";"2001";"1998";"Accordo di rinnovo";"1998";"A181980";"16/07/1998";"";
"SISTEMAZIONI IDRAULICO FORESTALI";"01/01/1998";"31/12/2001";"C";"2001";"1998";"Testo definitivo";"1998";"A181981";"16/07/1998";"";
"METALMECCANICA: Cooperative";"01/01/1999";"31/12/2002";"C";"2002";"1999";"Accordo di rinnovo";"1999";"C016990";"16/07/1999";"";
"METALMECCANICA: Cooperative";"01/01/1999";"31/12/2002";"C";"2002";"1999";"Testo definitivo";"1999";"C016991";"16/07/1999";"";
"AGRICOLTURA: Cooperative e Consorzi Agricoli";"01/01/2002";"31/12/2005";"C";"2005";"2002";"Accordo di rinnovo";"2002";"A016020";"16/07/2002";"";
"AGRICOLTURA: Cooperative e Consorzi Agricoli";"01/01/2002";"31/12/2005";"C";"2005";"2002";"Testo definitivo";"2002";"A016021";"16/07/2002";"";
